pid,rid,verb,verbstem,sentence,ISO3,object,objectcleanpp,objecttype,label1,label2,group
110925,56331,killing,kill,"The issue was discussed threadbare at a high-level meeting Union Home Secretary RK Singh had with top brass of the Central Reserve Police Force (CRPF), days after SFs were accused of killing civilians along with Maoists during the operation in Bijapur District on June 28.",IND,civilians along with Maoists during the operation in Bijapur District,civilians maoists operation,person,civilian,,NA
74557,38997,injured,injur,"A senior official of a retail chain was seriously injured in an attack by armed militants at Maxmart Guest house in capital Itanagar on July 8, according to Sentinel.",IND,A senior official of a retail chain,senior official retail chain,person,civilian,,NA
1495,714,killed,kill,"United Bengali Liberation Front of Tripura (UBLFT) terrorists killed three tribals and injured two others in Darchui, North Tripura district on June 18.",IND,three tribals,tribals,person,civilian,,NA
123876,61762,arrested,arrest,"Crime Branch of Indore (Madhya Pradesh) on February 8, busted an international cyber crime gang and arrested two accused, identified as Varun Batra and a Mongalian national Munndro from Ghaziabad (Ghaziabad District) in Uttar Pradesh, reports The Times of India.",IND,"two accused , identified as Varun Batra and a Mongalian national Munndro from Ghaziabad ( Ghaziabad District ) in Uttar Pradesh , reports The Times of India",accused identified varun batra and mongalian national munndro district reports times india,person,civilian,,NA
104543,53560,arrested,arrest,"The input came after three men, including an Indian businessman and a Filipino national, were arrested in Kathmandu on December 21, 2011.",IND,"three men , including an Indian businessman and a Filipino national ,",men including indian businessman and filipino national,person,civilian,,NA
2086,986,killed,kill,Unconfirmed reports indicate that three army men were also killed in the blast.,IND,three army men,army men,person,civilian,,NA
9263,4335,arrested,arrest,"Pakistan news sources have reported that Punjab Police, on August 16, registered cases under the amended Anti-Terrorism Act (ATA) against the arrested activists of two proscribed sectarian outfits.",PAK,activists,activists,person,civilian,,NA
90195,46406,arrested,arrest,"In addition, a ULFA leader Chandan Kalita (24), who was arrested by the Border Security Force (BSF) while returning from Bangladesh in Dhubri District in the night of October 9, was involved in an arms deal in Bangladesh and had been running an extortion network in the lower Assam Districts.",IND,a ULFA leader Chandan Kalita ( 24 ) who,ulfa leader chandan kalita who,person,civilian,,NA
31102,18606,kill,kill,A statement issued by the outfit <fc><be><8c><93><a4><bc>justified' the killing by accusing the cadre of being a traitor who attempted to kill the outfit's leaders.,IND,the outfit 's leaders,outfit leaders,person,civilian,,NA
105215,53834,killed,kill,"Suspected Communist Party of India-Maoist (CPI-Maoist) cadres killed a worker of the Trinamool Congress (TMC) party in Jhargram area in West Midnapore District on January 29, reports Indian Express.",IND,a worker of the Trinamool Congress ( TMC ) party,worker trinamool congress tmc party,person,civilian,,NA
112340,56872,arrested,arrest,Godghate was arrested from the court premises adjacent to district collectorate in Chandrapur.,IND,Godghate from the court premises adjacent to district collectorate in Chandrapur,godghate court premises adjacent to district collectorate,person,civilian,,NA
34969,20721,killed,kill,"According to Hindustan Times, left-wing extremists (also known as Naxalites) of the Communist Party of India-Maoist (CPI-Maoist) killed a Bharatiya Janata Party leader, Kamesh Manikpuri, in the Dantewada district of Chhattisgarh on May 6.",IND,"a Bharatiya Janata Party leader , Kamesh Manikpuri ,",bharatiya janata party leader kamesh manikpuri,person,civilian,,NA
132429,65355,killed,kill,"The former LWE leader R Balan of Naickenkottai village in Dharmapuri District was killed in an encounter at Seriyampatti in Palacode taluk (administrative unit), Dharmapuri District on September 12, 1980.",IND,The former LWE leader R Balan of Naickenkottai village in Dharmapuri District,former lwe leader balan village,person,civilian,,NA
7758,3565,killed,kill,"Earlier, on June 10, one more trader was killed by unidentified terrorists at Kumbi Uchanmakhong.",IND,one more trader,more trader,person,civilian,,NA
71122,37379,arrested,arrest,"Further, two leaders of a faction of the People''s United Liberation Front (PULF), who were arrested from Mumbai by a combined team of the Imphal East District Police and Army in collaboration with the Mumbai Police on March 5, were remanded to Police custody till March 16, according to Sangai Express.",IND,the People '' s United Liberation Front who from Mumbai,people united liberation front who,person,civilian,,NA
56569,31332,killed,kill,"Three persons, including two migrant tribals from the Bastar region of Chhattisgarh, were killed by cadres of the Communist Party of India-Maoist (CPI-Maoist) in Narsingpet village of Chintoor mandal (administrative division) in Khammam district on November 16, reports The Hindu.",IND,"Three persons , including two migrant tribals from the Bastar region of Chhattisgarh ,",persons including migrant tribals bastar region,person,civilian,,NA
833,412,surrendered,surrend,"While six members of the People's War Group (PWG) including a deputy commander, and one member of the CPI-ML (Janashakti) outfit surrendered in Karimnagar district, another PWG member surrendered in Bheemgal Nizamabad district.",IND,outfit,outfit,person,civilian,,NA
94462,48741,kill,kill,"The module planned to kill 16 residents of Kreeri and Pattan areas of Baramulla District to ""create fear psychosis and to revive"" HM.",IND,16 residents of Kreeri and Pattan areas of Baramulla District,residents and areas baramulla district,person,civilian,,NA
24397,14636,arrested,arrest,"Meanwhile, the Daily Excelsior has reported that Shahbaz Ahmad Bhat, an arrested Hizb-ul-Mujahideen terrorist has confessed that all training camps in Pakistan are ""operational"" at their original places after being temporarily shifted following ""US pressure"" during year 2002.",IND,Hizb,hizb,person,civilian,,NA
70174,36925,killed,kill,"They also killed Kishore Baba (45), Amritananda Baba (62), Mata Bhaktimayee (40), all of them ashram inmates, and Puranjan Ganthi (28), brother of one of the girl inmates of the tribal residential school.",IND,"Kishore Baba ( 45 ) , Amritananda Baba ( 62 ) , Mata Bhaktimayee ( 40 ) , all of them ashram inmates , and Puranjan Ganthi ( 28 ) , brother of one of the girl inmates of the tribal residential school.",kishore baba amritananda mata bhaktimayee them ashram inmates and puranjan ganthi brother girl tribal residential school,person,civilian,,NA
20835,12074,killed,kill,"Separately, one more CPI-M activist was killed by the NLFT at New Dalapatipara under Gandcherra police station in Dhalai district.",IND,one more CPI-M activist,more cpi activist,person,civilian,,NA
47625,27066,arrested,arrest,"This was revealed from the confession of two ULFA agents, Anupam Ojah and Anil Dutta, who were arrested earlier.",IND,"two ULFA agents , Anupam Ojah and Anil Dutta who",ulfa agents anupam ojah and anil dutta who,person,civilian,,NA
85635,44350,killed,kill,"Two former legislators, S. Chinna Reddy (Anantapur) and Budda Vengal Redy (Kurnool), were killed by Maoists in late 90s.",IND,"Two former legislators , S. Chinna Reddy ( Anantapur ) and Budda Vengal Redy ( Kurnool ) ,",former legislators chinna reddy and budda vengal redy,person,civilian,,NA
33004,19579,assaulted,assault,They also torched a campaign vehicle of the Jharkhand Mukti Morcha (JMM) in Manatu and assaulted some Janata Dal (United) activists in Latehar district.,IND,some Janata Dal ( United ) activists in Latehar district,janata dal united activists district,person,civilian,,NA
38885,22756,wounded,wound,"Meanwhile, three more of the critically wounded People's Democratic Party (PDP) activists, who were among the approximately 90 persons hurt in the November 15 grenade attack at a PDP rally in Tangmarg, Baramulla district, succumbed to injuries at a Srinagar hospital, raising the death toll to six.",IND,People 's Democratic Party,people democratic party,person,civilian,,NA
109948,55946,killed,kill,"A civil contractor was allegedly killed by a group of Communist Party of India-Maoist (CPI-Maoist) cadres at Pendhari village in Dhanora taluka (administrative unit) in Gadchiroli District of Maharashtra in the night of June 11, reports IBN Live.",IND,A civil contractor,civil contractor,person,civilian,,NA
5432,2453,killed,kill,"In another encounter, a district secretary of the People's War Group (PWG) was killed in the forest area of Peddapally under Puttaparthi mandal.",IND,a district secretary of the People 's War Group ( PWG ),district secretary people war group pwg,person,civilian,,NA
93239,48073,killed,kill,"Sources said 50 militants, mostly top <fc><be><8c><93><a4><bc>commanders' of LeT, HUJI and HM outfits were killed in Doda, Kishtwar and Ramban Districts in 2010 while 48 militants were killed in Doda District alone in 2009.",IND,HUJI and HM outfits,huji and hm outfits,person,civilian,,NA
19947,11525,arrested,arrest,"Besides, police also arrested three more SIMI activists for their role in the blasts and all three are engineering graduates.",IND,three more SIMI activists,more simi activists,person,civilian,,NA
104936,53730,shot,shot,Kanglaonline reports that three supporters of Manipur Pradesh Congress Committee (MPCC) president Gaikhangam were shot at by suspected National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM) cadres at Noney under Nungba Constituency of Tamenglong District on January 24.,IND,three supporters of Manipur Pradesh Congress Committee ( MPCC ) president Gaikhangam,supporters manipur pradesh congress committee mpcc president gaikhangam,person,civilian,,NA
48265,27375,attacked,attack,"Two civilians, identified as Mohammad Ashraf and Shabir Ahmad Khan, were killed and seven persons, including four security force (SF) personnel, were wounded in a crossfire between SFs and terrorists in the Sopore area of Baramulla district on December 22. Official sources said that terrorists attacked an Army convoy at the Main Chowk in Sopore resulting in the crossfire in which two civilians were killed.",IND,an Army convoy at the Main Chowk in Sopore resulting in the crossfire in which two civilians were killed,army convoy resulting crossfire civilians were killed,person,civilian,,NA
8192,3790,kill,kill,"Two persons were injured, one of them critically, when an Improvised Explosive Device (IED) planted in a Congress leaders vehicle went off near Bachupalli village, Medak district, on July 4. Police suspect that the bomb was planted to kill the Congress leader Pratap Reddy who was not in the vehicle when the explosion occurred.",IND,the Congress leader Pratap Reddy who was not in the vehicle when the explosion occurred,congress leader pratap reddy who was not vehicle when explosion occurred,person,civilian,,NA
39373,22990,killed,kill,"Imphal Free Press has reported that on December 7, a member of the Kadangbal gram panchayat (local administration) of Imphal East district, identified as Moirangthem Kanhai, was killed by unidentified militants at Sambrei Wakangkhong under Heigang police station.",IND,"a member of the Kadangbal gram panchayat ( local administration ) of Imphal East district , identified as Moirangthem Kanhai ,",member gram panchayat local administration district identified moirangthem kanhai,person,civilian,,NA
22247,13031,abducted,abduct,"Separately, a group of NLFT terrorists abducted four peasants from Garjankhola in South Tripura district, on the same night.",IND,four peasants from Garjankhola in South Tripura district,peasants district,person,civilian,,NA
105240,53844,arrested,arrest,"The duos, identified as Pabitra Nayak alias Pati and Bhagaban Bhumiya alias Deba, were arrested during a combing operation in Rajgiri forest based on intelligence input.",IND,"The duos , identified as Pabitra Nayak alias Pati and Bhagaban Bhumiya alias Deba ,",duos identified pabitra nayak alias pati and bhagaban bhumiya deba,person,civilian,,NA
55006,30614,arrested,arrest,"Following his interrogation, three over ground workers, identified as Abdul Hameed Shah alias Hassan, Mushtaq Ahmed Changa alias Shahid and Muzaffar Ahmed Saboon alias Zubair, were arrested.",IND,"three over ground workers , identified as Abdul Hameed Shah alias Hassan , Mushtaq Ahmed Changa alias Shahid and Muzaffar Ahmed Saboon alias Zubair ,",ground workers identified abdul hameed shah alias hassan mushtaq ahmed changa shahid and muzaffar saboon zubair,person,civilian,,NA
89551,46076,arrested,arrest,"The Hindu reports that Sheikh Lalbaba Mohammed Hussain Farid alias Bilal, who was recently arrested by the Maharashtra Anti-Terrorism Squad (ATS) for allegedly planning attacks on sensitive establishments in Nasik and for being the mastermind behind the German Bakery blast in Pune, was denied Police custody by the Chief Judicial Magistrate, citing <fc><be><8c><b3><a4><bc>slow investigation.<fc><be><8d><83><a4><bc>",IND,Sheikh Lalbaba Mohammed Hussain Farid alias Bilal who,sheikh lalbaba mohammed hussain farid alias bilal who,person,civilian,,NA
27959,16821,abducted,abduct,"According to The Sentinel, armed terrorists abducted at least 64 polling officials and snatched several Electronic Voting Machines (EVMs) during the first phase of polling to the Lok Sabha (Lower House of Parliament) elections in Manipur on April 20.",IND,at least 64 polling officials,least polling officials,person,civilian,,NA
23829,14195,arrested,arrest,"On the basis of disclosures made by the terrorist, security forces arrested a National Conference activist, two Government teachers and a civilian.",IND,"a National Conference activist , two Government teachers and a civilian",national conference activist government teachers and civilian,person,civilian,,NA
125963,62626,arrested,arrest,The duo was arrested from an area of Moreh (Chandel District) bordering Myanmar.,IND,The duo from an area of Moreh ( Chandel District ) bordering Myanmar,duo area chandel district bordering,person,civilian,,NA
121013,60534,surrendered,surrend,"After serving in the outfit, the youths could have surrendered and benefited from the money the government gives for rehabilitation of former ultras.<fc><be><8d><83><a4><bc>",IND,from the money the government gives for rehabilitation of former ultras . < fc > < be > < 8d > < 83 > < a4 > < bc >,money government gives rehabilitation former ultras fc be bc,person,civilian,,NA
65820,35052,killed,kill,"On September 25, an unidentified militant killed a prominent leader of the People's Democratic Party (PDP) in Rafiabad area of Baramulla district in north Kashmir, reports Daily Excelsior.",IND,"a prominent leader of the People 's Democratic Party ( PDP ) in Rafiabad area of Baramulla district in north Kashmir , reports Daily Excelsior",prominent leader people democratic party pdp area district north reports daily excelsior,person,civilian,,NA
12990,7544,killed,kill,"In another incident, unidentified terrorists killed a Public Works Department (PWD) employee outside his residence at village Lopra in the Dachchan area of Doda district.",IND,a Public Works Department ( PWD ) employee outside his residence at village Lopra in the Dachchan area of Doda district,public works department pwd employee his residence village lopra area district,person,civilian,,NA
1185,574,injured,injur,"In North Tripura district, six tribals were injured when militants of the United Bengali Liberation Front of Tripura (UBLFT) hurled powerful bombs on a passenger vehicle, on May 22, in Panisagar.",IND,six tribals,tribals,person,civilian,,NA
15385,8993,killed,kill,"The slain leader, a member of the Tribal Youth Federation (TYF) was allegedly dragged from his house and was later killed by the terrorists.",IND,a member of the Tribal Youth Federation ( TYF ),member tribal youth federation tyf,person,civilian,,NA
87466,45169,killed,kill,"In Manipur, 16 civilians and two security personnel were killed in 2010 in terror incidents and 72 extremists were killed and 674 were arrested, he said.",IND,72 extremists,extremists,person,civilian,,NA
135848,66669,arrested,arrest,"Police on November 29 arrested KSU Lawsohtun unit <fc><be><8c><93><a4><bc>general secretary' Readystone Nongrum along with another member of the unit, Shemphang Nongkynrih, from near Elephant Falls of Upper Shillong in East Khasi hills District, reports The Shillong Times.",IND,"KSU Lawsohtun unit < fc > < be > < 8c > < 93 > < a4 > < bc > general secretary ' Readystone Nongrum along with another member of the unit , Shemphang Nongkynrih , from near Elephant Falls of Upper Shillong in East Khasi hills District",ksu lawsohtun unit fc be bc general secretary readystone nongrum member shemphang nongkynrih hills district,person,civilian,,NA
6762,3066,surrendered,surrend,"Earlier, on April 27, police in Simaluguri arrested eight youths including some surrendered ULFA (SULFA) activists on the charge of extorting cash from some truck drivers near Simaluguri Masjid.",IND,some ULFA,ulfa,person,civilian,,NA
33769,20049,killing,kill,"Elsewhere, reports from Mahbubnagar district indicated that the Naxalites have called for a shutdown on March 5 after killing a registered medical practitioner and Congress party functionary, Dr Qayyum, in his clinic at Mannanur village on March 1.",IND,"a registered medical practitioner and Congress party functionary , Dr Qayyum",registered medical practitioner and congress party functionary dr qayyum,person,civilian,,NA
32828,19506,killing,kill,"""We have seen through the conspiracy of the government to keep us bound by the ceasefire agreement while the police and anti-Naxalite forces run amuck in the forests killing our activists,"" the statement said.",IND,our activists,our activists,person,civilian,,NA
112541,56954,abducted,abduct,"Militants abducted the duo about ten days back from a construction site in the State capital, Imphal.",IND,"the duo from a construction site in the State capital , Imphal",duo construction site state capital,person,civilian,,NA
57984,31887,arresting,arrest,"According to the prosecution, on May 1, 2000, one Sanjeev Kumar helped the security forces in arresting two persons, who had come from across the border and enquiring about the road leading to Jammu.",IND,"two persons , who had come from across the border and enquiring about the road leading to Jammu",persons who had come border and enquiring road leading to,person,civilian,,NA
80398,41854,arrested,arrest,"Two suspected Naxalites (left wing extremists) - Devendra alias Krishna and Gangamma - who were arrested by the Shimoga Police on charges of spreading Naxalism in Raichur District and in the Western Ghats, were brought in Raichur on January 10, reports The Hindu.",IND,who on charges of spreading Naxalism in Raichur District,who charges spreading,person,civilian,,NA
36906,21792,arrested,arrest,"On August 9, an activist of the human rights organisation, Manab Adhikar Sangram Samiti, Benudhar Hazarika, was arrested from Abhayapuri village under Borholla police station.",IND,"an activist of the human rights organisation , Manab Adhikar Sangram Samiti , Benudhar Hazarika , from Abhayapuri village",activist human rights organisation manab adhikar sangram samiti benudhar hazarika village,person,civilian,,NA
39499,23054,killed,kill,"According to Hindu, a tribal activist, Irpa Veeraiah, was killed by Communist Party of India-Maoist (CPI-Maoist) cadres at Kurnapalli village in the Khammam district on December 14.",IND,"a tribal activist , Irpa Veeraiah ,",tribal activist irpa veeraiah,person,civilian,,NA
28575,17227,surrender,surrend,"Separately, the Kuki Revolutionary Army (KRA) has warned its Division III 'Finance secretary Sgt major' Chunglal Singson alias Bobby Singson to surrender to the outfit along with the Rupees 10 lakhs, which he had taken before June 20.",IND,to the outfit,to outfit,person,civilian,,NA
109491,55762,abduct,abduct,"Separately, two suspected Maoists were arrested after a failed attempt to abduct Pitabasa Mahto (75), a former sarpanch of Bansa village in Kandra in Seraikela-Kharsawan District on June 3, reports The Telegraph.",IND,"Pitabasa Mahto ( 75 ) , a former sarpanch of Bansa village in Kandra in Seraikela - Kharsawan District",pitabasa mahto former sarpanch village kharsawan district,person,civilian,,NA
111932,56712,arrested,arrest,"One of the accused, G Anji Reddy, was arrested from Bowenpally area of Hyderabad District, while, two of his associates were picked up from Medak District.",IND,"One of the accused , G Anji Reddy , from Bowenpally area of Hyderabad District",accused anji reddy area,person,civilian,,NA
58019,31904,arrested,arrest,"The president of the Mahila Congress Committee of Jowai, identified as Armonie Lamare, was arrested for helping the Hynniewtrep National Liberation Council (HNLC) militants by collecting money for the outfit, reports Shillong Times.",IND,"The president of the Mahila Congress Committee of Jowai , identified as Armonie Lamare ,",president mahila congress committee jowai identified armonie lamare,person,civilian,,NA
44152,25569,arrested,arrest,"Police sources told that Khalid Aziz Raunak Aziz Sheikh and Kamal Ahmed Mohammad Vakil Ansari, belonging to Basupatigaon in the Madhubani district, near the Indo-Nepal border were arrested on July 20 from Patna in Bihar.",IND,"Khalid Aziz Raunak Aziz Sheikh and Kamal Ahmed Mohammad Vakil Ansari , belonging to Basupatigaon in the Madhubani district , near the Indo - Nepal border from Patna in Bihar",khalid aziz raunak sheikh and kamal ahmed mohammad vakil ansari belonging to basupatigaon madhubani district border,person,civilian,,NA
28798,17363,surrender,surrend,"Meanwhile, according to Sentinel, an unspecified number of ULFA cadres headed by an unidentified senior leader are reportedly camping at the Arunachal Pradesh-Assam border to surrender before the security forces.",IND,the Arunachal Pradesh - Assam border,border,person,civilian,,NA
8348,3866,arrested,arrest,"On July 11, three activists of the surrendered United Liberation Front of Asom (SULFA) were arrested in Golaghat district on the charge of making an attempt to abduct an employee of a business establishment.",IND,three activists of the surrendered United Liberation Front of Asom ( SULFA ),activists surrendered united liberation front asom sulfa,person,civilian,,NA
135902,66690,arrested,arrest,"Also, Imphal West District commandos arrested an active member of People's Revolutionary Party of Kangleipak (PREPAK), Thongbam Somendro alias Yambung (43), from his house at on November 30, reports The Sangai Express.",IND,"an active member of People 's Revolutionary Party of Kangleipak ( PREPAK ) , Thongbam Somendro alias Yambung ( 43 ) , from his house at on November 30",active member people revolutionary party kangleipak prepak thongbam somendro alias yambung his house november,person,civilian,,NA
47701,27121,arrested,arrest,"He added that while eight SIMI activists have been arrested in connection with the blasts, an equal number are still at large.",IND,eight SIMI activists,simi activists,person,civilian,,NA
79878,41637,arrested,arrest,The arrested top leaders of the outfit were key members of the ULFA and it will be difficult for the ULFA to run the outfit without them.,IND,top leaders of the outfit,top leaders outfit,person,civilian,,NA
37718,22201,abduct,abduct,"Elsewhere, the Kuki Revolutionary Army (KRA) cadres made an abortive attempt to abduct a leader of the rival Kuki National Army (KNA), identified as Dampau, from an unspecified location near the Churachandpur police station.",IND,a leader of the rival Kuki National Army ( KNA ),leader rival kuki national army kna,person,civilian,,NA
33900,20116,arrested,arrest,"Separately, police raided Aguni village in the Gaya district and arrested a CPI-Maoist activist, Bhola Sharma.",IND,"a CPI-M aoist activist , Bhola Sharma",cpi aoist activist bhola sharma,person,civilian,,NA
1395,669,injured,injur,Two members of outfit were injured in this attack.,IND,Two members of outfit,members outfit,person,civilian,,NA
106467,54422,arrested,arrest,The Sangai Express reports that People's Revolutionary Party of Kangleipak (PREPAK) has refuted any connection whatsoever between the outfit and Jaotu alias Bilal who was arrested from Moreh in Chandel District on February 28 for being a PREPAK activist along with a AK 47 rifle.,IND,who from Moreh for being a PREPAK activist along with a AK 47 rifle,who moreh being prepak activist ak rifle,person,civilian,,NA
127303,63194,abducted,abduct,"In April, Maoists abducted three tribal people from Kiang village.",IND,three tribal people from Kiang village,tribal people village,person,civilian,,NA
88209,45492,arrested,arrest,"In a separate incident, a hardcore Maoist identified as Arilo Miniaka was arrested from Rayagada District.",IND,Arilo Miniaka from Rayagada District,arilo miniaka,person,civilian,,NA
91649,47172,arrested,arrest,Along with him Ranjeet Rai alias Suresh Rai from Kharagpur District has been arrested.,IND,Along with him Ranjeet Rai alias Suresh Rai from Kharagpur District,him ranjeet rai alias suresh district,person,civilian,,NA
88460,45610,arrested,arrest,"A woman over ground worker of the People's Revolutionary Party of Kangleipak (PREPAK), identified as Khwairakpam Manileima (32), was arrested by a combined force of the Assam Rifles and Bishnupur District Police from Thanga area on August 21.",IND,"A woman over ground worker of the People 's Revolutionary Party of Kangleipak ( PREPAK ) , identified as Khwairakpam Manileima ( 32 ) ,",woman ground worker people revolutionary party kangleipak prepak identified khwairakpam manileima,person,civilian,,NA
3122,1418,killed,kill,Police suspect that these attacks were carried out as retaliation to an earlier PWG attack in the area in which one local MCC leader was killed.,IND,one local MCC leader,local mcc leader,person,civilian,,NA
97639,50386,arrested,arrest,"Ali Mohammad Wani alias Ali Baba, a resident of Natipora-Sangam village, was arrested at Kari Kadal near Bijbehara, along with a pistol, its one magazine with 162 rounds, two hand grenades, an IED and 40 rounds of General Purpose Machine Gun.",IND,"Ali Mohammad Wani alias Ali Baba , a resident of Natipora - Sangam village ,",ali mohammad wani alias baba resident village,person,civilian,,NA
33225,19709,killed,kill,"Separately, in Adilabad district, six members of the Indervelli dalam (squad) of the CPI-Maoist killed a retired Government employee, Damodar Rao, on February 1 branding him a police informer.",IND,"a retired Government employee , Damodar Rao",retired government employee damodar rao,person,civilian,,NA
95043,49039,killed,kill,He said that many locals had been killed as the Naxals had suspected them to be police informants and added that the locals thus needed to defend themselves.,IND,many locals,many locals,person,civilian,,NA
57373,31639,arrested,arrest,"On December 9, police arrested a CPI-Maoist leader, Ashoka Nagesia alias Aashokaji who was visiting his sister's marriage ceremony at Navatoli village under Mahuadand police station limits in Latehar district, reports Ranchi Express.",IND,"a CPI-M aoist leader , Ashoka Nagesia alias Aashokaji who was visiting his sister 's marriage ceremony at Navatoli village under Mahuadand police station limits in Latehar district , reports Ranchi Express",cpi aoist leader ashoka nagesia alias aashokaji who was visiting his sister marriage ceremony village police station limits district reports ranchi express,person,civilian,,NA
3346,1522,killed,kill,"In another development, a former member of North Cachar Hills Autonomous Council (NCHAC) and his wife were killed by suspected terrorists of the Dima Halong Daugah (DHD).",IND,a former member of North Cachar Hills Autonomous Council ( NCHAC ) and his wife,former member north cachar hills autonomous council nchac and his wife,person,civilian,,NA
79576,41512,killed,kill,"A 25-year-old youth, Nazir Ahmad Chopan, was shot dead by militants while a ruling National Conference worker was brutally killed by slitting open his throat after he was abducted in the night of December 18 from Pulwama District in south Kashmir, according to Daily Excelsior.",IND,a ruling National Conference worker,ruling national conference worker,person,civilian,,NA
16448,9685,killed,kill,"In the first incident, Naxalites killed a Zila Parishad Territorial Committee (ZPTC) (district-level local body) member in Indravelli.",IND,a Zila Parishad Territorial Committee ( ZPTC ) ( district - level local body ) member,zila parishad territorial committee zptc district level local body member,person,civilian,,NA
54526,30417,arrested,arrest,"Meanwhile, an activist of the Hiz-bul-Mujahideen (HM), Nasir Ahmed, was arrested by SFs from the Mahore area of Udhampur district.",IND,"an activist of the Hiz - bul - Mujahideen ( HM ) , Nasir Ahmed ,",activist hiz bul mujahideen hm nasir ahmed,person,civilian,,NA
6512,2939,killed,kill,"Earlier, on the night of April 17, a member of the Ikhwaan-ul-Muslimeen, a counter-insurgency outfit aiding SFs, was killed by unidentified terrorists at Bandipora in Baramulla district.",IND,"a member of the Ikhwaan - ul - Muslimeen , a counter-insurgency outfit aiding SFs ,",member ul muslimeen counter insurgency outfit aiding sfs,person,civilian,,NA
51355,28875,arrested,arrest,The recovery was made following information revealed by the arrested Communist Party of India-Maoist (CPI-Maoist) <fc><be><8c><93><a4><bc>deputy commander' Suresh alias Raju.,IND,Communist Party,communist party,person,civilian,,NA
116177,58403,arrested,arrest,"The official added that since October 1 till now, the BSF in the Meghalaya frontier have arrested 15 illegal migrants from along the international border.",IND,15 illegal migrants from along the international border,illegal migrants international border,person,civilian,,NA
76931,40192,killed,kill,"Meanwhile, the Military Council faction of the Kangleipak Communist Party (KCP) asserted that its 'field captain' Regan alias Tompok and Soreishang alias Litpa were killed by the National Socialist Council of Nagalnd-Isak-Muivah's (NSCN-IM) Kisingmung Battalion and a Meitei armed group, reports Sangai Express.",IND,its 'f ield captain ' Regan alias Tompok and Soreishang alias Litpa,its ield captain regan alias tompok and soreishang litpa,person,civilian,,NA
6530,2950,killed,kill,"In a separate incident, Naxalites of the PWG killed a former sarpanch of the ruling Telugu Desam Party (TDP) in Nalgonda district.",IND,a former sarpanch of the ruling Telugu Desam Party ( TDP ) in Nalgonda district,former sarpanch ruling telugu desam party tdp district,person,civilian,,NA
110249,56053,surrendered,surrend,"Security Forces (SFs) arrested three Biswamohan faction of National Liberation Front of Tripura (NLFT-BM) collaborator and surrendered extremists including a woman from Jirania in West Tripura District with some incriminating documents, extortion notes and cash amount of INR 2.5 million on June 17, reports Tripura Info.",IND,extremists including a woman from Jirania in West Tripura District,extremists including woman district,person,civilian,,NA
2206,1034,killed,kill,"Suspected National Democratic Front of Bodoland (NDFB) terrorists killed a Member of Assam's Legislative Assembly, in Gargaon, Bongaigaon distrit, on August 21.",IND,a Member of Assam 's Legislative Assembly,member legislative assembly,person,civilian,,NA
102366,52557,arrested,arrest,"It was only after the arrested extremist Swami Aseemanand''s confession about the alleged involvement of right-wing Hindu fundamentalists in the 2006 Malegaon blast was leaked, that the line of investigation changed.",IND,extremist Swami Aseemanand,extremist swami aseemanand,person,civilian,,NA
4187,1897,injured,injur,A political leader of the ruling National Conference was injured in the incident.,IND,A political leader of the ruling National Conference,political leader ruling national conference,person,civilian,,NA
3501,1590,killing,kill,"As reported earlier, terrorists of the United Bengali Liberation Front (UBLF) had killed three tribals on November 15 and in retaliation a tribal mob attacked a health department vehicle at a nearby village killing three non-tribals.",IND,three non- tribals,non tribals,person,civilian,,NA
113298,57283,arrested,arrest,"In addition, SFs arrested a Karbi People's Liberation Tigers (KPLT) linkman from Birola locality in Diphu town of Karbi Anglong District, who came to extort money from a pharmacy, reports Nagaland Post.",IND,"a Karbi People 's Liberation Tigers ( KPLT ) linkman from Birola locality in Diphu town of Karbi Anglong District , who came to extort money from a pharmacy , reports Nagaland Post",people liberation tigers kplt linkman locality town who came to extort money pharmacy reports nagaland post,person,civilian,,NA
28088,16901,injured,injur,Eight members of a marriage party were reportedly injured when unidentified terrorists attacked the residence of a Village Defence Committee (VDC) member at village Jamsalan in the Mahore area of Udhampur district on April 29.,IND,Eight members of a marriage party,members marriage party,person,civilian,,NA
62675,33812,surrendered,surrend,"Meanwhile, Telegraph reports that another surrendered ULFA activist Tilok Gogoi alias Montu was arrested by the Police at Sapekhati in the Sibsagar district on the allegations of torturing a woman.",IND,ULFA activist Tilok Gogoi alias Montu,ulfa activist tilok gogoi alias montu,person,civilian,,NA
17566,10225,killed,kill,"Meanwhile, unidentified terrorists killed three workers of the ruling National Conference (NC) at Mirwani, near the Payarpora camp of Rashtriya Rifles 41st Battalion.",IND,"three workers of the ruling National Conference ( NC ) at Mirwani , near the Payarpora camp of Rashtriya Rifles 41st Battalion",workers ruling national conference nc payarpora camp rashtriya rifles st battalion,person,civilian,,NA
20587,11889,arrested,arrest,"Meanwhile, arrested ULFA 'sergeant major' Gadhadhar Roy reportedly informed the security forces (SFs) that 40 armed cadres under <fc><be><8c><93><a4><bc>lieutenant' Sailen Sarma alias Biju Chakravarty had entered Kokrajhar district some 15 days ago on the instructions of Raju Barua.",IND,ULFA 's ergeant major ' Gadhadhar Roy,ulfa ergeant major gadhadhar roy,person,civilian,,NA
